"","1","2","3","4","5","6","7","8","9","10"
"seven-year-old",1,0,0,0,0,0,0,0,0,0
"sex",1,0,0,0,1,0,0,1,1,0
"shantytown",1,0,0,0,0,0,0,0,0,0
"shantytown,",1,0,0,0,0,0,0,0,0,0
"share",10,0,0,0,10,0,0,3,10,0
"she",3,0,0,0,0,0,0,0,0,0
"shipments",1,0,0,0,0,0,0,0,0,0
"show",2,0,0,0,2,5,0,1,1,0
"sign",3,6,0,0,4,2,0,2,3,0
"sites,",1,0,0,0,0,0,0,0,0,0
"situation.",1,0,0,0,0,0,0,0,0,0
"skip",1,0,0,0,1,0,0,1,1,0
"slogan:",1,0,0,0,0,0,0,0,0,0
"slums",1,0,0,0,0,0,0,0,0,0
"sociologist",1,0,0,0,0,0,0,0,0,0
"sold",1,0,0,0,0,0,0,0,0,0
"solution",1,0,0,0,0,0,0,0,0,0
"something",1,0,0,0,0,0,0,0,0,0
"speaks",1,0,0,0,1,3,0,0,0,0
"special",2,0,0,0,1,0,0,0,0,0
"sport",2,0,0,0,2,3,3,2,2,3
"sports",1,0,0,2,1,0,0,1,1,0
"stage",1,0,0,0,2,0,0,1,1,0
"staged",1,0,0,0,0,0,0,0,0,0
"stared",1,0,0,0,0,0,0,0,0,0
"stefani",1,0,0,0,0,0,0,0,0,0
"step",1,0,0,0,0,0,0,0,2,0
"still",1,0,0,0,1,0,1,0,0,0
"stop",1,0,0,0,0,0,0,0,0,0
"street",1,1,0,0,0,3,0,0,0,0
"streets",1,1,0,1,0,4,0,1,1,2
"streets!",1,0,0,0,0,0,0,0,0,0
"streets,",1,0,0,0,0,1,0,0,0,0
"strikes",1,0,0,0,1,0,0,0,0,0
"stringer/reuters",1,0,0,0,0,0,0,0,0,0
"struggle",2,0,0,0,0,0,1,0,0,0
"student",1,0,0,0,2,0,0,0,0,0
"subscribe",3,0,0,0,3,0,0,3,3,0
"subscriptions",1,0,0,0,1,0,0,1,1,0
"support",3,0,0,4,2,9,2,2,7,3
"supporter.",1,0,0,0,0,0,0,0,0,0
"supporters",1,0,0,1,0,10,0,1,2,0
"supporters.",1,0,0,0,0,0,0,0,0,0
"surged",1,0,0,0,0,0,0,0,0,0
"survival",1,0,0,0,0,0,0,0,1,0
"swept",1,0,0,0,0,0,0,0,0,0
"switch",7,0,0,0,7,0,0,7,7,0
"t-shirts",1,0,0,0,0,0,0,0,0,0
"take",1,0,0,4,1,2,0,1,0,3
"taking",1,0,0,0,0,0,0,0,0,1
"targeted",1,0,0,0,0,0,0,0,0,0
"tech",1,0,0,4,1,4,4,1,1,4
"tennis",1,0,0,0,1,2,2,1,1,2
"tens",1,0,0,0,0,1,0,2,0,0
"terms",1,2,0,1,1,1,1,1,1,1
"that",8,7,0,14,4,12,2,0,19,20
"the",55,12,2,69,37,127,22,16,63,90
"theguardian",2,0,0,0,2,0,0,2,2,0
"their",3,0,0,4,2,5,2,0,6,3
"them",2,0,0,1,1,1,0,0,1,2
"them,",1,0,0,0,0,1,0,0,0,1
"there",3,0,0,0,1,1,0,0,3,0
"these",1,0,0,0,0,0,0,0,0,2
"they",5,0,0,8,7,5,2,0,6,8
"thieves.",1,0,0,0,0,0,0,0,0,0
